distrito,ingreso_mensual_promedio,poblacion_2015,pobreza_2010_%,pobreza_extrema_2010_%,pobreza_2015_%,pobreza_extrema_2015_%,viviendas_total,viviendas_tv_paga,viviendas_celular,viviendas_telefono,viviendas_computadora,categorical_denue_111,categorical_denue_112,categorical_denue_113,categorical_denue_114,categorical_denue_115,categorical_denue_211,categorical_denue_212,categorical_denue_213,categorical_denue_221,categorical_denue_236,categorical_denue_237,categorical_denue_238,categorical_denue_311,categorical_denue_312,categorical_denue_313,categorical_denue_314,categorical_denue_315,categorical_denue_316,categorical_denue_321,categorical_denue_322,categorical_denue_323,categorical_denue_324,categorical_denue_325,categorical_denue_326,categorical_denue_327,categorical_denue_331,categorical_denue_332,categorical_denue_333,categorical_denue_334,categorical_denue_335,categorical_denue_336,categorical_denue_337,categorical_denue_339,categorical_denue_431,categorical_denue_432,categorical_denue_433,categorical_denue_434,categorical_denue_435,categorical_denue_436,categorical_denue_437,categorical_denue_461,categorical_denue_462,categorical_denue_463,categorical_denue_464,categorical_denue_465,categorical_denue_466,categorical_denue_467,categorical_denue_468,categorical_denue_469,categorical_denue_481,categorical_denue_482,categorical_denue_483,categorical_denue_484,categorical_denue_485,categorical_denue_486,categorical_denue_487,categorical_denue_488,categorical_denue_491,categorical_denue_492,categorical_denue_493,categorical_denue_511,categorical_denue_512,categorical_denue_515,categorical_denue_517,categorical_denue_518,categorical_denue_519,categorical_denue_521,categorical_denue_522,categorical_denue_523,categorical_denue_524,categorical_denue_525,categorical_denue_531,categorical_denue_532,categorical_denue_533,categorical_denue_541,categorical_denue_551,categorical_denue_561,categorical_denue_562,categorical_denue_611,categorical_denue_621,categorical_denue_622,categorical_denue_623,categorical_denue_624,categorical_denue_711,categorical_denue_712,categorical_denue_713,categorical_denue_721,categorical_denue_722,categorical_denue_811,categorical_denue_812,categorical_denue_813,categorical_denue_931,categorical_denue_932,H_0_a_4_años,H_5_a_9_años,H_10_a_14_años,H_15_a_19_años,H_20_a_24_años,H_25_a_29_años,H_30_a_34_años,H_35_a_39_años,H_40_a_44_años,H_45_a_49_años,H_50_a_54_años,H_55_a_59_años,H_60_a_64_años,H_65_a_69_años,H_70_a_74_años,H_75_a_79_años,H_80_a_84_años,H_85_a_89_años,H_90_a_94_años,H_95_a_99_años,H_100_años_o_más,M_0_a_4_años,M_5_a_9_años,M_10_a_14_años,M_15_a_19_años,M_20_a_24_años,M_25_a_29_años,M_30_a_34_años,M_35_a_39_años,M_40_a_44_años,M_45_a_49_años,M_50_a_54_años,M_55_a_59_años,M_60_a_64_años,M_65_a_69_años,M_70_a_74_años,M_75_a_79_años,M_80_a_84_años,M_85_a_89_años,M_90_a_94_años,M_95_a_99_años,M_100_años_o_más
D19011,8897.548134660485,2123846,0.21512302741309608,0.01653371956093772,0.17683701598377735,0.010934325461897964,577683,0.5095787828272598,0.8754299503360837,0.5938706868645952,0.4992599747612447,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,81854,86230,88936,91394,98943,81883,77317,77571,80064,64332,59717,46322,38256,29555,20954,12870,7726,4017,1265,206,70,76620,82627,87024,89593,91394,81074,79170,80582,82293,68553,65092,52296,40939,34049,25721,17379,11064,5715,2630,504,45
D19012,7467.430505906559,1118348,0.21076078661187192,0.013282543383345214,0.1798273674596041,0.010305940630160564,299674,0.4601233340229719,0.9111534534193824,0.4079733310197081,0.4083837770377144,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,57867,61071,58547,52382,48985,44124,46808,49757,48075,33862,23984,13860,9473,5894,4131,2757,1258,570,201,82,0,54231,57901,57012,49380,46448,44456,50099,51731,47251,33245,22359,14003,9514,6446,4595,2942,1749,871,313,97,17
D20001,3680.9817821046977,392142,0.6311374136015665,0.2413753396415894,0.6596098298169698,0.20923923456627327,107823,0.2642757111191488,0.6146555002179496,0.18160318299435188,0.14750099700434985,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,18097,18776,20503,18103,15393,12389,12168,11779,12298,10338,9301,7738,6275,4535,3809,2705,1683,967,304,183,107,17309,19224,20020,18174,17171,15248,14921,14790,14068,11968,10721,8631,6710,5130,4128,2916,1812,1084,361,210,95
D20002,2799.411398194818,390719,0.7883655866049023,0.44177997546325326,0.7898884631408738,0.4020577575469541,102649,0.15433175189237114,0.3975586708102368,0.11251936209802334,0.10247542596615646,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,18350,21635,22039,17788,13799,11453,11755,11438,10449,8752,8269,7244,5825,5005,4349,3276,2136,1207,575,211,68,18496,21160,21982,18028,15643,13732,14061,13455,12343,10576,9816,8376,6980,6159,5184,3794,2705,1523,664,302,117
D20003,4298.743296130457,417703,0.6337411967603258,0.22345568984519804,,,109247,0.20228473093082638,0.6336741512352742,0.21121861469880188,0.1977720211996666,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,19491,21464,20566,18190,16747,13658,13711,13296,12596,9195,8641,7091,5488,4662,4007,3161,2426,1505,644,245,50,19439,20415,20087,19006,19168,16745,17091,16277,14469,11574,10488,8582,6941,5932,4692,3769,3000,1946,753,382,113
D20004,3504.903739661009,440147,0.7189168274819204,0.3293039248840414,0.7315778433924018,0.26889018000768355,117005,0.16636041194820733,0.5476090765351908,0.21396521516174516,0.15835220717063372,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,19576,20668,20927,19100,17957,14639,14530,13529,12384,10249,9980,8629,6770,5478,4766,3781,2567,1454,545,162,28,19174,20596,20742,19402,20250,17720,17236,16290,14783,12695,12364,10061,8033,6905,5623,4542,3160,1870,659,274,49
D20005,4151.552830901311,431251,0.6557236975720558,0.26420564142636893,0.6559173937101739,0.21945790151735026,118344,0.3087186507131753,0.5583299533563172,0.1554197931454068,0.15296085986615277,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,19214,21129,21562,19845,17392,14431,14179,13023,12683,10989,10730,9188,7241,5759,4262,3306,1967,1115,399,147,43,19194,20816,20825,19377,18719,16198,17021,15625,14089,12679,12103,9839,7924,5955,4870,3439,2118,1197,422,178,59
D20006,2556.1933035810707,387960,0.8118935369091048,0.46739060883132033,0.8298915537204395,0.41455973659890744,97832,0.1575558099599314,0.29726469866710276,0.12766783874396928,0.07357510834900646,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,20060,22216,22547,19381,14134,10847,10758,9896,9175,7290,7082,6309,5326,4691,4248,3607,2498,1500,685,262,86,19829,21908,22077,19779,17218,13715,13056,12113,10631,9531,8889,7654,6880,6115,5261,4114,3361,1880,801,427,123
D20007,3580.657758153806,409815,0.6249847633933353,0.21182295446718474,,,112050,0.25179830432842476,0.4951182507809014,0.1381436858545292,0.12631860776439094,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,18615,19680,20012,18560,16083,13025,12679,12849,12272,10345,10403,8555,7105,6122,5076,3636,2201,1334,448,230,34,17705,18880,19149,18645,16766,15081,14913,15123,13955,11873,11325,9560,7576,6583,5237,3717,2226,1480,499,208,50
D20008,6754.720787517423,388514,0.382251508271907,0.05713746448775624,0.40090240720111725,0.04088575900351976,103479,0.33989505116980284,0.8748731626706869,0.45206273736700214,0.44610017491471704,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,15601,15463,16057,15249,18522,14803,13962,12105,12673,9646,9785,6476,5733,4213,3423,2169,1530,963,320,110,21,14672,15137,15628,16937,20950,17364,17214,15773,14609,13256,12253,9319,7980,6318,4858,3119,2268,1256,609,134,36
