distrito,mpo_inegi
D21003,21076
D21003,21211
D21003,21075
D21003,21002
D21003,21025
D21003,21204
D21003,21158
D21003,21173
D21004,21010
D21004,21115
D21004,21110
D21004,21195
D21004,21013
D21004,21065
D21004,21035
D21004,21099
D21004,21217
D21004,21214
D21004,21124
D21004,21145
D21004,21036
D21004,21129
D21004,21061
D21004,21209
D21004,21046
D21004,21103
D21004,21120
D21004,21027
D21008,21045
D21008,21199
D21008,21094
D21008,21142
D21008,21179
D21008,21050
D21008,21116
D21008,21058
D21008,21108
D21008,21067
D21008,21170
D21008,21044
D21008,21063
D21008,21117
D21008,21137
D21008,21023
D21008,21128
D21008,21093
D21008,21012
D21008,21105
D21008,21130
D21008,21096
D21013,21019
D21013,21085
D21013,21051
D21013,21106
D21013,21069
D21013,21188
D21013,21175
D21013,21022
D21013,21148
D21013,21176
D21013,21166
D21013,21185
D21013,21168
D21013,21033
D21013,21062
D21013,21201
D21013,21005
D21013,21021
D21013,21121
D21013,21165
D21013,21133
D22002,22016
D22002,22017
D22002,22007
D22003,22014
D22004,22014
D24004,24013
D24004,24016
D24004,24040
D24004,24036
D24004,24058
D24004,24042
D24004,24034
D24006,24028
D25001,25012
D25001,25009
D25001,25014
D25001,25004
D25003,25018
D25003,25017
D25003,25015
D25003,25002
D25003,25013
D25003,25003
D25004,25011
D25004,25010
D25004,25007
D25006,25006
D25006,25012
D25006,25008
D25006,25016
D25006,25005
D26002,26043
D26002,26002
D26002,26019
D26002,26036
D26002,26035
D26002,26027
D26002,26039
D26002,26006
D26002,26059
D26002,26011
D26002,26022
D26004,26029
D26004,26025
D26004,26012
D26004,26058
D26004,26072
D26004,26041
D26004,26056
D26004,26066
D26004,26023
D26004,26069
D26004,26052
D26004,26016
D26004,26038
D26004,26020
D26004,26014
D26004,26001
D26004,26045
D26004,26021
D26004,26040
D26004,26013
D26004,26067
D26004,26057
D26004,26015
D26004,26050
D26004,26061
D26004,26010
D26004,26037
D26004,26031
D26004,26063
D26004,26068
D26004,26005
D26004,26062
D26004,26008
D26004,26028
D26004,26034
D26004,26032
D26004,26009
D26004,26024
D26004,26054
D26004,26044
D26004,26053
D26007,26042
D26007,26033
D26007,26026
D26007,26003
D26007,26071
D26007,26051
D26007,26049
D28001,28027
D28002,28032
D28002,28025
D28002,28007
D28002,28015
D28002,28014
D28002,28024
D28003,28022
D28003,28033
D28003,28040
D28003,28035
D28003,28005
D28003,28023
D28003,28010
D28004,28022
D28008,28038
D28008,28009
D30001,30123
D30001,30133
D30001,30161
D30001,30013
D30001,30121
D30001,30151
D30001,30205
D30001,30060
D30001,30154
D30001,30152
D30001,30035
D30001,30150
D30001,30153
D30003,30189
D30003,30160
D30003,30034
D30003,30033
D30003,30157
D30003,30167
D30004,30193
D30005,30131
D30005,30175
D30005,30040
D30006,30124
D30006,30211
D30006,30066
D30006,30069
D30006,30158
D30006,30051
D30006,30192
D30006,30067
D30006,30050
D30006,30203
D30006,30103
D30006,30114
D30006,30037
D30006,30042
D30006,30064
D30008,30087
D30008,30065
D30008,30004
D30008,30191
D30008,30009
D30008,30016
D30008,30134
D30008,30112
D30008,30188
D30008,30095
D30008,30024
D30008,30057
D30008,30197
D30008,30166
D30008,30162
D30008,30187
D30008,30088
D30008,30106
D30008,30017
D30008,30179
D30008,30002
D30008,30096
D30009,30038
D30009,30128
D30009,30092
D30009,30025
D30009,30026
D30009,30132
D30009,30182
D30009,30093
D30009,30164
D30009,30046
D30009,30079
D30009,30177
D30009,30036
D30009,30001
D30009,30136
D30009,30156
D30012,30193
D30012,30028
D30012,30105
D30012,30100
D30012,30090
D30013,30174
D30013,30071
D30013,30181
D30013,30126
D30013,30125
D30013,30053
D30013,30148
D30013,30049
D30013,30043
D30013,30075
D30013,30031
D30013,30200
D30013,30007
D30013,30146
D30018,30173
D30018,30201
D30018,30030
D30018,30115
D30018,30159
D30018,30117
D30018,30147
D30018,30135
D30018,30006
D30018,30099
D30018,30168
D30018,30052
D30018,30110
D30018,30020
D30018,30184
D30018,30074
D30018,30019
D30018,30137
D30018,30195
D30018,30171
D30018,30185
D30018,30113
D30018,30098
D30018,30140
D30018,30041
D30018,30018
D30019,30141
D30019,30143
D30019,30011
D30019,30032
D30019,30015
D30019,30097
D30019,30178
D30019,30012
D30019,30139
D30019,30005
D31003,31050
D32002,32020
D32002,32036
D32002,32049
D32002,32055
D32002,32034
D32002,32048
D32002,32019
D32002,32044
D32002,32025
D32002,32023
D32002,32008
D32002,32031
D32002,32045
D32002,32012
D32002,32046
D32002,32001
D32002,32047
D32002,32002
