cve_mun,Municipio,AdultosMayores,ApoyoMadresTrab,BecasUniv,BenitoJuarez,BienestarDiscapacitados,CreditoGanaPalabra,FertiGuerrero,JoCuFu,MediaSuperior,MejoramientoUrbano-RYCJ,MejoUrbano-VAB,PNR-ReconstruViv,PrBiPeEmSoNa,ProdBienProdCafe,ProdBienProdCanaAzu,ProdBienProdIndig,ProdBienPyMProd,SembrandoVida
30087,Xalapa,35394,1084,6267.0,3401,1708,0.0,0.0,11299,0.0,0.0,0.0,0.0,0.0,262.0,257.0,0.0,310,2.0
7019,Comitán de Domínguez,8857,788,770.0,1390,716,0.0,0.0,4769,0.0,0.0,0.0,0.0,0.0,8.0,47.0,2.0,3068,1.0
25012,Mazatlán,31675,1573,651.0,2804,2112,0.0,0.0,982,1662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2125,0.0
26042,Navojoa,12419,318,958.0,1887,1095,0.0,0.0,720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257,0.0
30174,Tierra Blanca,8708,80,1114.0,1534,374,15.0,0.0,1028,51.0,0.0,0.0,0.0,0.0,0.0,1839.0,34.0,1083,555.0
30141,San Andrés Tuxtla,10906,221,684.0,3206,926,0.0,0.0,1123,77.0,0.0,0.0,0.0,0.0,0.0,347.0,0.0,3586,986.0
25011,Guasave,23198,662,818.0,5314,2482,0.0,0.0,1239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1534,0.0
22014,Querétaro,46645,1350,1901.0,9471,2894,0.0,1.0,2597,617.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1951,0.0
25006,Culiacán,54395,2800,1772.0,6551,5525,0.0,1.0,5301,83.0,0.0,0.0,0.0,0.0,0.0,284.0,0.0,4481,4.0
30189,Tuxpan,11757,343,920.0,3168,838,38.0,0.0,647,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,590,363.0
15031,Chimalhuacán,19615,627,670.0,11658,1558,0.0,1.0,3126,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,143,0.0
32056,Zacatecas,9243,624,798.0,669,472,5.0,0.0,1742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014,0.0
30193,Veracruz,43524,689,1695.0,3950,3191,1.0,0.0,2589,223.0,0.0,0.0,0.0,0.0,3.0,192.0,0.0,334,6.0
9010,Álvaro Obregón,61508,494,760.0,1479,5864,0.0,1.0,2744,21173.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,264,1.0
21019,Atlixco,9491,222,157.0,2508,606,0.0,0.0,502,0.0,0.0,0.0,14.0,0.0,0.0,11.0,0.0,711,0.0
20043,Heroica Ciudad de Juchitán de Zaragoza,6867,111,1315.0,1274,1062,0.0,0.0,2130,0.0,0.0,0.0,392.0,0.0,0.0,1.0,0.0,959,0.0
3003,La Paz,17649,445,1542.0,2821,1209,0.0,0.0,1523,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,0.0
26043,Nogales,10155,50,63.0,413,535,0.0,0.0,264,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,37,0.0
14120,Zapopan,68122,1130,239.0,18378,2850,0.0,1.0,2163,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1298,0.0
19018,García,2797,112,17.0,1394,953,0.0,0.0,137,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,69,0.0
8021,Delicias,9836,517,504.0,449,596,0.0,0.0,967,1332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,0.0
14039,Guadalajara,129427,1296,1309.0,9249,2949,1.0,1.0,2949,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,855,0.0
1005,Jesús María,4058,556,41.0,1290,330,0.0,0.0,242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426,0.0
14101,Tonalá,15274,594,37.0,10714,901,0.0,1.0,792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,140,0.0
15074,San Felipe del Progreso,6549,36,2134.0,3553,462,0.0,1.0,647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,5111,0.0
8019,Chihuahua,53753,1060,883.0,2744,2170,0.0,0.0,1978,1477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1367,0.0
30123,Pánuco,7874,273,152.0,1341,543,61.0,0.0,1030,206.0,0.0,0.0,0.0,0.0,0.0,843.0,1.0,1727,0.0
11002,Acámbaro,10652,58,66.0,1533,440,0.0,1.0,657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2090,0.0
11017,Irapuato,32223,679,881.0,17815,2146,0.0,0.0,1326,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3597,0.0
30028,Boca del Río,13453,151,927.0,502,342,0.0,0.0,874,0.0,0.0,0.0,0.0,0.0,1.0,58.0,0.0,88,6.0
15045,Jilotepec,5299,74,555.0,3619,852,0.0,0.0,409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3019,0.0
24028,San Luis Potosí,47868,1615,2214.0,5112,1698,0.0,0.0,1789,223.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1447,0.0
15106,Toluca,40263,1537,1549.0,25973,2342,0.0,0.0,3966,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1657,0.0
5030,Saltillo,40669,1129,845.0,2390,1655,0.0,0.0,1182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3540,0.0
11007,Celaya,26871,760,1092.0,15381,1622,0.0,0.0,1025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1116,0.0
11027,Salamanca,18444,395,444.0,4299,1454,0.0,0.0,282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1880,0.0
9014,Benito Juárez,48445,170,0.0,243,1843,0.0,2.0,1292,3374.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,131,0.0
28027,Nuevo Laredo,17957,125,422.0,4025,1572,0.0,0.0,717,0.0,69.0,0.0,0.0,0.0,0.0,4.0,0.0,72,0.0
5035,Torreón,39821,1416,3261.0,3732,2027,0.0,0.0,2319,83.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,720,1.0
