,cve_mun,AdultosMayores_ben,AdultosMayores_monto,ApoyoMadresTrab_ben,ApoyoMadresTrab_monto,BecasUniv_ben,BecasUniv_monto,BenitoJuarez_ben,BenitoJuarez_monto,BienestarDiscapacitados_ben,BienestarDiscapacitados_monto,CreditoGanaPalabra_ben,CreditoGanaPalabra_monto,FertiGuerrero_ben,FertiGuerrero_monto,JoCuFu_ben,JoCuFu_monto,MediaSuperior_ben,MediaSuperior_monto,MejoramientoUrbano-RYCJ_ben,MejoramientoUrbano-RYCJ_monto,MejoUrbano-VAB_ben,MejoUrbano-VAB_monto,PNR-ReconstruViv_ben,PNR-ReconstruViv_monto,PrBiPeEmSoNa_ben,PrBiPeEmSoNa_monto,ProdBienProdCafe_ben,ProdBienProdCafe_monto,ProdBienProdCanaAzu_ben,ProdBienProdCanaAzu_monto,ProdBienProdIndig_ben,ProdBienProdIndig_monto,ProdBienPyMProd_ben,ProdBienPyMProd_monto,SembrandoVida_ben,SembrandoVida_monto,clave_mun,robo_casa,robo_vehiculos,robo_transportistas,robo_bancos,robo_negocio,robo_maquinaria,secuestro,feminicidio,extorsion,homicidio_doloso,date,H_0_a_4_años,H_5_a_9_años,H_10_a_14_años,H_15_a_19_años,H_20_a_24_años,H_25_a_29_años,H_30_a_34_años,H_35_a_39_años,H_40_a_44_años,H_45_a_49_años,H_50_a_54_años,H_55_a_59_años,H_60_a_64_años,H_65_a_69_años,H_70_a_74_años,H_75_a_79_años,H_80_a_84_años,H_85_a_89_años,H_90_a_94_años,H_95_a_99_años,H_100_años_o_más,M_0_a_4_años,M_5_a_9_años,M_10_a_14_años,M_15_a_19_años,M_20_a_24_años,M_25_a_29_años,M_30_a_34_años,M_35_a_39_años,M_40_a_44_años,M_45_a_49_años,M_50_a_54_años,M_55_a_59_años,M_60_a_64_años,M_65_a_69_años,M_70_a_74_años,M_75_a_79_años,M_80_a_84_años,M_85_a_89_años,M_90_a_94_años,M_95_a_99_años,M_100_años_o_más,mpo_clave,viviendas_tv_paga,viviendas_celular,viviendas_telefono,viviendas_computadora,viviendas_tv_paga,viviendas_total,ingreso_mensual_promedio_municipio,pobreza_2010_%,pobreza_2015_%,pobreza_extrema_2010_%,pobreza_extrema_2015_%,mpo_inegi,mpo_nombre,edo_nombre,Ranking de Importancia Electoral,nombre_pte_mpal,partido_pte_mpal,pob_2015
10,19026,43141,112151550,419,1388000,44,336000,1263,2024000,1927,5584500,0,0,0,0,427,6163200,0,0,0,0,0,0,0,0,0,0,0,0,1,7300,1,1600,243,1775677,0,0,19026,136,120,40,0,216,0,0,8,24,16,2020/05,23292,25881,28653,29192,32157,26463,22967,22833,23545,22613,21511,17773,15047,9996,6350,4165,2354,1291,450,78,36,23183,24933,27038,28848,28663,25998,24083,23822,26444,24673,23649,20436,14095,10609,8161,5235,3367,1491,741,151,45,19026,0.503977866055184,0.877961868466664,0.632453788930875,0.519873181969878,0.503977866055184,185778,8138.303335064075,0.19138043843465,0.167060722803155,0.0158356371095615,0.00900678774536782,19026,Guadalupe,Nuevo León,11,María Cristina Díaz Salazar,PRI-PVEM,682312
11,19006,14030,36347700,364,1209600,7,57600,233,374400,1458,4368150,0,0,0,0,626,7160400,0,0,0,0,0,0,0,0,0,0,0,0,1,7300,0,0,168,1183919,0,0,19006,640,1408,320,0,1600,0,0,0,192,320,2020/05,28185,30860,31452,30170,26355,21070,23274,26745,27144,21057,13888,8155,5581,3018,2241,1320,486,237,97,29,0,26144,28602,30079,27726,24079,20873,25029,28261,27581,20524,13601,8213,5444,3626,2661,1582,843,421,174,88,17,19006,0.47355919965037,0.916570074929852,0.528778003686321,0.516306585339591,0.47355919965037,157881,8032.366055386768,0.149729381514252,0.131027154981103,0.00748812086708035,0.00602043012198894,19006,Apodaca,Nuevo León,12,César Garza Villarreal,PRI,596932
12,17029,6942,17906100,236,750400,168,816000,1268,2033600,234,762450,0,0,3,9484,2205,37083600,0,0,0,0,0,0,0,0,0,0,0,0,647,4723100,0,0,277,1711389,0,0,17029,1,8,0,0,2,0,0,0,0,2,2020/05,4385,4659,5056,4381,4261,3638,3475,3409,3168,2710,2381,2015,1762,1378,957,788,534,278,86,25,0,4441,4546,4738,4739,4708,3710,4057,4012,3611,3055,2952,2385,1933,1374,1012,882,554,351,165,49,36,17029,0.28081227563877,0.804638558457099,0.381220525093264,0.263109734637855,0.28081227563877,28414,4832.9857961882135,0.511202592801353,0.508858151854032,0.0750563652467993,0.0776339022954679,17029,Yautepec,Morelos,13,AGUSTIN  ALONSO  GUTIERREZ ,PRD-PSD MORELOS,102656
13,14098,26567,68192100,453,1485600,5,24000,5088,8499200,1147,3304800,0,0,0,0,780,12733200,0,0,0,0,0,0,0,0,0,0,1,5000,14,102200,0,0,438,2712936,0,0,14098,216,736,16,8,736,0,0,0,32,184,2020/05,32110,33201,32403,32740,30755,26982,25512,23781,23872,16793,14278,11179,8622,6421,4257,2604,1785,935,370,57,16,29503,31962,32680,30946,29662,26606,26556,25774,23616,18917,16609,12889,9393,7013,5471,3479,2196,1283,480,204,23,14098,0.310209998857067,0.891222877904703,0.444113595486017,0.386413537136292,0.310209998857067,166239,6481.361618407772,0.349989642769712,0.347164537325665,0.0429950599150079,0.0327245320571922,14098,San Pedro Tlaquepaque,Jalisco,14,MARIA ELENA LIMON GARCIA,PAN-PRD-MC,663935
14,16034,8150,21078300,112,361600,665,3984000,5124,11139200,1086,3898950,0,0,0,0,2138,34567200,399,1276800,0,0,0,0,0,0,0,0,0,0,1,7300,40,142400,218,1307884,0,0,16034,0,11,0,0,0,0,0,0,0,2,2020/05,6310,6792,6520,5925,5837,4650,3998,3539,3039,2874,2402,2170,1626,1424,863,653,481,301,155,45,0,6518,6110,5965,5856,6338,5316,4714,3923,3535,3287,2863,2410,1902,1427,986,700,540,362,130,39,0,16034,0.389483702117535,0.704462798681214,0.267496006254036,0.157710478909622,0.389483702117535,29421,3969.5855496695976,0.62043954274674,0.706182914929478,0.154170020930607,0.186942251397144,16034,Hidalgo,Michoacán de Ocampo,15,JOSE LUIS TELLEZ MARIN,PT-MORENA,122525
15,28033,8163,21024750,95,312400,34,177600,2665,4563200,430,1315800,0,0,0,0,293,3744000,0,0,0,0,0,0,0,0,0,0,0,0,1,7300,1,3200,756,9398786,0,0,28033,10,4,0,0,0,0,0,0,0,2,2020/05,6020,6277,6186,5768,5398,4540,4110,4726,4470,3743,3666,2426,1900,1322,937,920,453,298,93,0,0,5751,5854,5787,5897,5395,4893,4140,4831,4199,3858,3655,2410,2043,1705,1205,877,634,230,165,44,0,28033,0.333416286464814,0.831826351444767,0.277616480022121,0.250463154984101,0.333416286464814,36165,5409.64632482449,0.44628092421321,0.45172944709523,0.0701411810843492,0.0543148523605543,28033,Río Bravo,Tamaulipas,16,CARLOS RAFAEL ULIVARRI LÓPEZ,PAN-PRD-MC,126826
16,26029,10123,26634750,208,693600,107,523200,244,776000,973,3159450,0,0,0,0,186,2844000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,822269,0,0,26029,5,9,0,0,2,0,0,0,0,17,2020/05,7284,6867,7162,6997,6457,5661,5580,5558,5346,4546,3896,4192,3056,2157,1620,1095,546,258,63,15,29,6688,6961,6983,6421,6457,5865,6049,5614,5798,4812,4884,3770,2674,2480,1680,1054,793,336,203,33,11,26029,0.532820647649095,0.877963279435608,0.354804785066386,0.45377064984006,0.532820647649095,45642,6900.674028004709,0.293723614922731,0.307041601367716,0.0538048634502608,0.0431151161134065,26029,Guaymas,Sonora,17,SARA   VALLE DESSENS,MORENA-PT-PES,157951
17,16112,9570,24745200,209,677200,469,2270400,6363,11691200,811,2618850,0,0,0,0,3814,65214000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,155200,1683,5869624,0,0,16112,7,14,0,0,1,0,0,0,0,3,2020/05,7821,8328,8666,7237,6954,5507,5284,5146,4852,3393,3658,2701,2312,1763,1414,861,688,218,137,31,0,7917,8671,8621,7768,7527,6400,6780,5994,5877,4234,4326,3559,2936,2230,1546,1002,805,661,108,52,19,16112,0.362867439750913,0.792395008458163,0.186373777243865,0.206158523131236,0.362867439750913,40789,4518.556101222389,0.557403575273496,0.60866745984533,0.166708569439341,0.148578227245687,16112,Zitácuaro,Michoacán de Ocampo,18,CARLOS HERRERA TELLO,PRD-PVEM,164004
18,21174,6072,15606000,45,147200,1221,5865600,956,1996800,290,846600,0,0,0,0,402,7268400,77,246400,0,0,0,0,0,0,0,0,49,245000,0,0,0,0,95,382644,15,75000,21174,4,4,1,0,2,0,0,0,1,0,2020/05,4568,4390,4935,4758,4567,3319,3280,3258,2943,2468,2198,1387,1087,1017,642,484,372,114,98,7,0,4139,4585,5163,4329,4606,3955,4236,4000,3785,3024,2541,2003,1494,1259,952,662,516,262,108,26,13,21174,0.443064833005894,0.8037721021611,0.256581532416503,0.259371316306483,0.443064833005894,25450,4330.355988857938,0.497155646740651,0.552287763901279,0.0857139896587812,0.0704727921498662,21174,Teziutlán,Puebla,19,CARLOS ENRIQUE PEREDO GRAU,PCP,97550
19,30038,7238,19045950,304,961600,0,0,1093,2164800,411,1779900,0,0,0,0,1482,27378000,0,0,0,0,0,0,0,0,0,0,435,2175000,847,6183100,0,0,202,540580,0,0,30038,5,3,0,0,1,0,0,1,3,0,2020/05,3613,3745,4348,3826,3643,3456,3218,3242,3135,2835,2446,1876,1480,1154,702,528,349,168,93,20,12,3664,3984,3885,3512,4101,3740,3677,3979,3479,3103,2674,2262,1598,1492,1019,869,552,375,197,37,15,30038,0.407590432891876,0.801106938130065,0.408025301442973,0.376358964222178,0.407590432891876,25295,5237.986321672276,0.415763605849916,0.447604910077077,0.0599017022296811,0.0471709962888952,30038,Coatepec,Veracruz,20,LUIS ENRIQUE  FERNANDEZ  PEREDO ,PAN,92103
