,cve_mun,AdultosMayores_ben,AdultosMayores_monto,ApoyoMadresTrab_ben,ApoyoMadresTrab_monto,BecasUniv_ben,BecasUniv_monto,BenitoJuarez_ben,BenitoJuarez_monto,BienestarDiscapacitados_ben,BienestarDiscapacitados_monto,CreditoGanaPalabra_ben,CreditoGanaPalabra_monto,FertiGuerrero_ben,FertiGuerrero_monto,JoCuFu_ben,JoCuFu_monto,MediaSuperior_ben,MediaSuperior_monto,MejoramientoUrbano-RYCJ_ben,MejoramientoUrbano-RYCJ_monto,MejoUrbano-VAB_ben,MejoUrbano-VAB_monto,PNR-ReconstruViv_ben,PNR-ReconstruViv_monto,PrBiPeEmSoNa_ben,PrBiPeEmSoNa_monto,ProdBienProdCafe_ben,ProdBienProdCafe_monto,ProdBienProdCanaAzu_ben,ProdBienProdCanaAzu_monto,ProdBienProdIndig_ben,ProdBienProdIndig_monto,ProdBienPyMProd_ben,ProdBienPyMProd_monto,SembrandoVida_ben,SembrandoVida_monto,clave_mun,robo_casa,robo_vehiculos,robo_transportistas,robo_bancos,robo_negocio,robo_maquinaria,secuestro,feminicidio,extorsion,homicidio_doloso,date,H_0_a_4_años,H_5_a_9_años,H_10_a_14_años,H_15_a_19_años,H_20_a_24_años,H_25_a_29_años,H_30_a_34_años,H_35_a_39_años,H_40_a_44_años,H_45_a_49_años,H_50_a_54_años,H_55_a_59_años,H_60_a_64_años,H_65_a_69_años,H_70_a_74_años,H_75_a_79_años,H_80_a_84_años,H_85_a_89_años,H_90_a_94_años,H_95_a_99_años,H_100_años_o_más,M_0_a_4_años,M_5_a_9_años,M_10_a_14_años,M_15_a_19_años,M_20_a_24_años,M_25_a_29_años,M_30_a_34_años,M_35_a_39_años,M_40_a_44_años,M_45_a_49_años,M_50_a_54_años,M_55_a_59_años,M_60_a_64_años,M_65_a_69_años,M_70_a_74_años,M_75_a_79_años,M_80_a_84_años,M_85_a_89_años,M_90_a_94_años,M_95_a_99_años,M_100_años_o_más,mpo_clave,viviendas_tv_paga,viviendas_celular,viviendas_telefono,viviendas_computadora,viviendas_tv_paga,viviendas_total,ingreso_mensual_promedio_municipio,pobreza_2010_%,pobreza_2015_%,pobreza_extrema_2010_%,pobreza_extrema_2015_%,mpo_inegi,mpo_nombre,edo_nombre,Ranking de Importancia Electoral,nombre_pte_mpal,partido_pte_mpal,pob_2015
20,28038,25963,67021650,616,1985200,766,4041600,1510,2456000,1040,2807550,0,0,0,0,1517,23486400,0,0,0,0,0,0,0,0,0,0,0,0,43,313900,0,0,159,2578442,0,0,28038,8,7,0,0,5,0,0,0,0,0,2020/05,10610,11256,12402,12325,14092,11136,10275,9549,11289,10286,10119,7313,7202,4512,3814,2523,1391,692,273,89,0,9531,10283,11065,13546,12007,11446,11485,11498,12811,11680,11447,9710,8079,6490,4132,3116,2711,1359,464,169,0,28038,0.574917787120676,0.889439287349623,0.52731757066145,0.460641884860342,0.574917787120676,96092,7233.533408516702,0.279136766198761,0.286922691682851,0.0242552595652326,0.017531483992329,28038,Tampico,Tamaulipas,21,JESÚS ANTONIO NADER NASRALLAH,PAN-PRD-MC,314177
21,30131,17749,45973950,336,1141200,2260,10900800,2828,4539200,857,2626500,0,0,0,0,2042,37548000,0,0,0,0,0,0,0,0,0,0,0,0,2,14600,0,0,66,829897,59,295000,30131,2,8,0,0,3,0,0,0,2,2,2020/05,7520,8063,8134,8020,7781,7332,6849,6515,6478,5889,5659,4180,3749,2484,2127,1704,1062,476,127,101,22,8249,6973,7267,8074,8324,8151,8074,7873,7739,6950,6699,5171,4734,3671,2991,2135,1264,824,286,93,15,30131,0.676270080139247,0.888766000652718,0.442687747035573,0.422181528084998,0.676270080139247,55154,6819.88422984611,0.302410368536129,0.413626048347311,0.0401095861542109,0.0608781450419339,30131,Poza Rica de Hidalgo,Veracruz,22,FRANCISCO JAVIER  VELAZQUEZ  VALLEJO ,MORENA,199829
22,5018,14141,36725100,257,841600,255,1228800,183,300800,852,2417400,0,0,0,0,261,4363200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,417306,0,0,5018,17,6,2,0,8,0,0,0,1,0,2020/05,10360,10258,10758,9889,9484,8149,8297,7969,8101,6872,6761,5193,4327,3160,1833,1068,606,506,86,19,0,9963,10293,9687,10231,9258,8312,8357,8553,9239,7373,7293,5623,4037,3604,1966,1722,1120,504,197,48,0,5018,0.542766599445043,0.882609816378827,0.493957635214023,0.420312049855196,0.542766599445043,65951,8761.35130274159,0.19408646179044,0.176557895696176,0.00964182578337141,0.0101812753067185,5018,Monclova,Coahuila,23,JESUS ALFREDO  PAREDES  LOPEZ ,PAN-MC-UDC,231076
23,17006,12634,32591550,538,1709600,1971,9494400,1433,2308800,542,1450950,0,0,0,0,2945,52311600,0,0,0,0,0,0,0,0,0,0,0,0,512,3737600,1,3200,411,1755669,0,0,17006,30,35,2,0,23,0,1,1,4,3,2020/05,8219,8525,9409,8122,8483,6987,6595,6486,6633,5571,4672,4064,3045,2181,1897,1192,1037,442,201,3,22,7277,7985,8256,9150,8730,7923,7395,8106,7149,6086,5296,4936,3701,2798,2316,1509,1232,599,136,101,14,17006,0.335698365527489,0.829364784546805,0.42555720653789,0.346972511144131,0.335698365527489,53840,5054.883078409684,0.411932595691442,0.446107320099256,0.0547422628589302,0.0694168734491315,17006,Cuautla,Morelos,24,JESUS  CORONA  DAMIAN ,MORENA-PT-PES,194481
24,25018,9669,25165950,261,850400,18,86400,2745,7976000,1061,3200250,0,0,0,0,250,3571200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,2196223,0,0,25018,0,6,0,0,0,0,0,0,0,3,2020/05,7457,7656,7061,8092,7970,6059,5733,4968,5658,4280,3745,2845,2172,1916,1414,1003,511,255,103,57,0,7080,7031,7056,7217,7358,6226,4907,4964,5103,4192,3745,2850,2261,1925,1487,1033,451,246,129,58,9,25018,0.312444000716791,0.871080050175358,0.104958656529196,0.160791541868264,0.312444000716791,39063,4857.457972508591,0.340046768283119,0.339727264308205,0.0384269887214293,0.0237370346360437,25018,Navolato,Sinaloa,25,ELIAZAR GUTIERREZ ANGULO,MORENA-PT-PES,154283
25,19039,101662,262808100,480,1540000,1853,8980800,4768,7643200,3090,9325350,0,0,0,0,763,11350800,0,0,0,0,0,0,0,0,0,0,0,0,5,36500,0,0,422,2881797,0,0,19039,8000,6750,1125,0,7375,0,0,250,1125,1750,2020/05,39142,40617,41804,47160,52908,41783,39396,38644,41836,33684,32203,25294,21436,18175,13653,8100,5098,2601,761,128,34,35745,38217,41802,46331,49462,41240,38258,40032,42297,36099,36830,28830,24778,22086,16593,11585,7307,4047,1842,346,0,19039,0.526315616084547,0.862218576426637,0.656197083802784,0.541255691064946,0.526315616084547,303546,10042.882424354038,0.209912766701882,0.166747641623376,0.0163791727103807,0.0104799520895641,19039,Monterrey,Nuevo León,26,ADRIAN EMILIO  DE LA GARZA  SANTOS ,PRI,1108184
26,1001,47034,122640975,2928,9770800,2844,13771200,5983,9950400,3256,9363600,8,608000,14,59620,2780,42836400,0,0,0,0,0,0,0,0,0,0,5,25000,22,160600,20,81600,2617,18768553,0,0,1001,848,1104,8,0,824,0,0,0,48,48,2020/05,40684,39349,43811,42491,40653,34738,30602,28979,27773,22804,20969,16846,12948,8900,6626,3515,2029,1030,393,269,149,38944,39324,43538,41311,40701,35370,33352,31329,33921,27469,23856,18942,14316,10170,7294,4831,3259,2188,765,253,23,1001,0.514371592520787,0.888392992683001,0.440013185345183,0.44147051297065,0.514371592520787,230559,6923.267342655914,0.302213624974589,0.261129542652703,0.0215862420757115,0.0158454505563901,1001,Aguascalientes,Aguascalientes,27,MARIA TERESA  JIMENEZ ESQUIVEL,PAN,876714
27,8037,51068,136705500,944,3218400,1165,5606400,16443,27769600,4313,14216250,0,0,0,0,1398,20480400,574,1836800,0,0,689,36242682,0,0,0,0,0,0,2,14600,0,0,434,2857625,2,10000,8037,3008,9920,64,0,4096,64,0,128,0,7104,2020/05,63665,71884,72634,63362,62434,52018,52497,53424,51004,43584,33440,23954,17679,11956,7951,5045,2612,1466,386,91,12,61228,71304,68533,64328,59684,54851,54303,54888,52750,43580,34079,25660,19483,14020,9190,5923,3877,1321,719,269,3,8037,0.29420373667737,0.895924962080283,0.392980159998377,0.402763193271343,0.29420373667737,394254,6470.915240520472,0.388041269299394,0.264178171596463,0.0528288756712753,0.0107340146319676,8037,Juárez,Chihuahua,28,CABADA ALVIDREZ HECTOR ARMANDO,Independiente,1391091
28,16006,7087,18258000,92,308800,381,1843200,3777,6344000,889,2524500,0,0,0,0,3337,55090800,36,115200,0,0,0,0,0,0,0,0,0,0,3,21900,1,1600,634,5659081,0,0,16006,5,47,2,0,0,0,0,0,0,0,2020/05,7278,6273,6199,5969,5767,4910,4503,4082,3579,3213,2978,2386,1931,1361,1110,585,332,289,94,92,10,7050,6042,6307,6153,5689,5674,4755,4269,4044,3430,3309,2747,1891,1351,1151,584,418,259,113,29,16,16006,0.465616688084636,0.844415887152207,0.283763186993814,0.222916230835898,0.465616688084636,33461,4728.305999092297,0.51504543873709,0.53816605428642,0.106550436242118,0.102407888813047,16006,Apatzingán,Michoacán de Ocampo,29,JOSE CRUZ LUCATERO,PT-MORENA,128222
29,16102,20545,52927800,555,1854400,552,2649600,5757,9844800,1110,3850500,0,0,0,0,1145,17672400,0,0,0,0,0,0,0,0,0,0,0,0,107,781100,2,9600,659,3859688,0,0,16102,7,100,26,0,16,3,3,0,0,12,2020/05,16305,16169,16329,15190,15028,12479,11064,10869,10780,6959,7203,5799,4737,4047,2958,1709,1217,722,202,178,6,16422,15530,15858,16516,16221,13237,13249,12214,11279,9629,8777,7355,4962,5149,2885,1886,1599,1114,344,116,76,16102,0.554722033076737,0.853174374184911,0.28896557295694,0.286195713642711,0.554722033076737,86647,5394.891098516985,0.524212422308727,0.514192092419807,0.112630867950017,0.0851438858275566,16102,Uruapan,Michoacán de Ocampo,30,VICTOR MANUEL MANRIQUEZ GONZALEZ,PRD-PVEM,334368
30,5017,8406,21754050,124,417600,0,0,853,2710400,659,2815200,0,0,0,0,456,6930000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739,639227,0,0,5017,56,24,0,0,0,16,0,0,0,0,2020/05,5052,5505,5794,5833,4520,3537,3713,4441,3718,2875,2422,1791,1478,1364,938,640,348,132,30,8,0,5258,4983,5811,5389,4790,3489,3895,4617,4347,2867,2401,2050,1612,1338,931,470,278,169,102,4,4,5017,0.269740951681058,0.82832996509278,0.183648723130626,0.208524710637516,0.269740951681058,27215,4867.008502361768,0.425509680790332,0.356770257317703,0.0481475389215184,0.0357590503575905,5017,Matamoros,Coahuila,31,HORACIO  PI?A  AVILA ,MORENA-PT-PES,108944
31,10005,36294,93400125,3474,11519200,1940,9566400,10114,18112000,3243,10146450,44,3192000,0,0,3509,51616800,129,412800,0,0,0,0,0,0,0,0,0,0,2,14600,0,0,4917,34302991,9,45000,10005,832,424,0,0,440,0,0,0,16,16,2020/05,33270,30871,29751,30978,30221,24479,23523,22182,20392,16367,15640,10733,8627,6212,4941,3038,2156,866,404,23,0,32391,30656,29228,31002,32474,27157,25883,23864,22789,19609,18033,13307,10547,7709,6410,3977,2732,1438,445,205,4,10005,0.421007172412183,0.889309079024925,0.429801985398393,0.413852268151339,0.421007172412183,171351,6220.691400829216,0.417112363245409,0.321930069213606,0.0504814204587083,0.0075901598287874,10005,Durango,Durango,32,JORGE ALEJANDRO  SALUM DEL PALACIO,PAN,654534
32,12035,10221,26558250,466,1494400,1566,7848000,4943,7944000,1007,2853450,0,0,1283,7738392,2217,38530800,0,0,0,0,0,0,0,0,0,0,0,0,1,7300,2,6400,1025,8456140,0,0,12035,1,9,0,0,1,0,0,0,0,9,2020/05,7818,7156,6900,6590,6692,5992,4832,5019,4488,3337,3273,2859,2612,1756,1417,1114,553,396,126,106,28,6955,6786,6217,7049,7118,6231,6161,5347,4915,3759,4407,3587,3206,2025,1680,1331,880,593,188,58,20,12035,0.346984676223431,0.8048690064261,0.427212061295106,0.315348492338112,0.346984676223431,40460,5057.226554380935,0.466830890890263,0.528788347911345,0.112208554303825,0.11074128544521,12035,Iguala de la Independencia,Guerrero,33,ANTONIO SALVADOR JAIMES HERRERA,MORENA,151577
33,30124,16362,43329600,185,594000,8,38400,6297,10291200,2053,7313400,0,0,0,0,2006,34833600,114,364800,0,0,0,0,0,0,0,0,0,0,1,7300,0,0,1669,9459733,2367,11835000,30124,6,9,0,0,0,0,0,0,1,2,2020/05,7696,7053,7621,7208,6884,5561,5103,5475,5099,4755,4049,3838,2636,2279,1820,1581,1013,426,140,47,9,6405,6819,6513,7571,6736,6240,5135,5479,5667,5464,4428,4171,2810,2672,1969,1443,640,391,198,32,5,30124,0.280515290265949,0.623567649640578,0.232853313088657,0.162843111669949,0.280515290265949,42151,4197.6987880228135,0.665872539711202,0.62899952502267,0.181701683976304,0.172244051988428,30124,Papantla,Veracruz,34,MARIANO  ROMERO  GONZALEZ ,PRD,161081
34,28032,26115,68245650,287,946400,649,4089600,8299,13945600,2556,8703150,0,0,0,0,972,11761200,0,0,0,0,0,0,0,0,0,0,0,0,12,87600,0,0,1362,18155758,2,10000,28032,232,600,0,0,264,0,0,0,16,176,2020/05,32453,34526,31108,28212,25773,29132,28249,26756,22889,16417,13501,9763,6124,4947,3222,2520,1338,690,243,174,9,32481,35194,30049,25306,27971,30223,29821,27166,22470,17928,13786,10903,7461,5321,4273,2695,1899,933,505,156,0,28032,0.447613823368075,0.894521596975935,0.281963687317717,0.271253455570461,0.447613823368075,184123,6223.462616310392,0.309839591809511,0.348066298342541,0.0317514840258787,0.0298126409920437,28032,Reynosa,Tamaulipas,35,MAKI ESTHER ORTIZ DOMÍNGUEZ,PAN-PRD-MC,644587
35,17018,7711,19831350,388,1261600,73,350400,1603,2579200,268,854250,0,0,3,13867,1544,27158400,0,0,0,0,0,0,0,0,0,0,0,0,6,43800,0,0,306,1759916,0,0,17018,9,35,0,0,11,0,0,0,1,6,2020/05,5461,5796,5294,5419,5426,4715,4324,3253,3608,2999,2684,1900,1758,1421,874,652,563,346,101,13,14,5178,5211,5054,5325,5885,5041,4515,3904,4005,3227,3032,2330,2302,1364,1071,987,641,236,85,44,9,17018,0.288838388828508,0.797022692092349,0.391595033428844,0.260646181207391,0.288838388828508,30363,4832.320773567401,0.518296546625832,0.582264031104893,0.0731861865033266,0.11510698744303,17018,Temixco,Morelos,36,JAZMIN JUANA  SOLANO  LOPEZ ,MORENA-PT-PES,116067
36,16053,52254,135579675,2231,7448000,8781,42676800,14344,22984000,2277,6729450,0,0,7,39756,8905,141487200,13,41600,0,0,0,0,0,0,0,0,1,5000,34,248200,1,3200,2285,11857432,0,0,16053,336,568,128,0,256,0,0,8,16,168,2020/05,32230,33112,33722,34105,38803,30835,26485,25839,23806,19299,19725,15532,12461,9357,6009,4169,3928,1698,731,354,38,30409,32764,33484,35620,41891,36381,30077,29423,27738,23463,24068,19501,14741,11301,7676,6170,4211,1950,989,324,45,16053,0.456846405608041,0.877546946449711,0.446948770919895,0.423801675912815,0.456846405608041,215405,6163.747168615586,0.381047188032784,0.411570004875872,0.0683946099949589,0.0585491572997474,16053,Morelia,Michoacán de Ocampo,37,RAUL MORON OROZCO,PT-MORENA,784464
37,15025,12242,31663350,359,1136800,537,2582400,2539,5491200,689,2024700,0,0,0,0,2215,40014000,0,0,0,0,0,0,0,0,0,0,0,0,3,21900,0,0,1185,3507000,0,0,15025,16,32,8,0,29,0,0,0,9,10,2020/05,14924,17402,16972,15207,15274,12695,12808,13542,10906,10281,9818,5902,4409,3105,1572,1163,729,410,85,0,0,14348,16119,16221,15772,16790,14835,14547,15203,13361,11658,8181,6766,5391,2672,1696,1454,416,175,250,26,9,15025,0.219092809128396,0.77914477772129,0.378207083545162,0.246285940236118,0.219092809128396,88515,4870.695442018232,0.505330411701739,0.544662172042902,0.104843174824752,0.087405640635164,15025,Chalco,México,38,JOSE MIGUEL  GUTIERREZ  MORALES ,PT-MORENA-PES,343094
38,8017,8806,23062200,307,998400,455,2184000,69,184000,511,1509600,0,0,0,0,315,4863600,24,76800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2095,21311253,0,0,8017,10,6,0,0,7,0,0,0,1,13,2020/05,7794,7775,8003,7723,6532,6396,5275,5489,5225,4282,4109,3524,2670,1927,1581,894,661,195,21,43,0,7775,8440,8306,8255,8120,6580,6207,6189,5751,5319,4535,3283,3060,2282,1800,1120,584,328,172,19,10,8017,0.430621340208246,0.915902232348062,0.395986969642465,0.390371125367228,0.430621340208246,50037,7501.913852725794,0.36464782133375,0.317697692066845,0.027006090894893,0.01611148553628,8017,Cuauhtémoc,Chihuahua,39,CARLOS TENA NEVAREZ,MORENA-PT-PES,168254
39,22016,11497,29659050,460,1479200,1289,6326400,6170,9899200,1216,3919350,0,0,0,0,1398,20520000,1192,3814400,0,0,0,0,1,45000,0,0,0,0,2,14600,0,0,2660,11412426,0,0,22016,30,41,0,0,8,0,0,0,3,3,2020/05,12023,13350,12458,12537,13062,10019,9320,9138,8658,6413,6723,4837,3717,2857,1677,1212,727,469,99,107,28,11239,11657,12648,12748,12684,11821,11722,10554,10286,8181,7236,5443,4434,3087,1979,1196,929,443,444,84,9,22016,0.455625544838447,0.847290571131295,0.299893141362729,0.31954950648182,0.455625544838447,71122,5939.794271883824,0.410568446777472,0.310063992870543,0.063694135152097,0.0262786404604192,22016,San Juan del Río,Querétaro,40,GUILLERMO  VEGA GUERRERO,PAN,268255
40,30087,35394,95602050,1084,3490800,6267,32116800,3401,6449600,1708,5020950,0,0,0,0,11299,195670800,0,0,0,0,0,0,0,0,0,0,262,1310000,257,1876100,0,0,310,1622206,2,10000,30087,80,568,0,0,168,0,0,0,56,0,2020/05,18813,18258,20014,20365,24949,18127,17786,14464,15855,12074,13329,9618,8539,5332,3560,2569,1314,709,394,60,0,17733,17394,18639,20444,24313,20099,20069,17299,20010,16664,17223,11846,9965,7543,5499,4081,2699,1580,731,140,60,30087,0.46994213843702,0.901140002010079,0.463732429754914,0.481133971772746,0.46994213843702,139298,6381.518758322506,0.342415520977858,0.375683147803413,0.0554563071172215,0.0363969196646959,30087,Xalapa,Veracruz,41,PEDRO HIPOLITO  RODRIGUEZ  HERRERO,MORENA,480160
41,7019,8857,22965300,788,2552000,770,3720000,1390,4169600,716,2177700,0,0,0,0,4769,93978000,0,0,0,0,0,0,0,0,0,0,8,40000,47,343100,2,4800,3068,11297718,1,5000,7019,0,18,0,0,0,0,0,0,0,0,2020/05,8420,7557,6781,7092,6520,6030,6131,5199,4204,3360,3053,2373,1731,1544,957,706,372,259,205,31,19,7982,7655,7534,7481,7627,7759,6585,6055,5028,4098,3805,2706,2215,1695,1073,686,414,343,74,64,14,7019,0.208180240865483,0.745764441722801,0.134466217595428,0.17375995101041,0.208180240865483,39192,4024.9158499177015,0.666887310947968,0.665421391782341,0.187641245770985,0.166483821049957,7019,Comitán de Domínguez,Chiapas,42,EMMANUEL CORDERO SANCHEZ,MORENA-PT-PES,153437
42,25012,31675,81023700,1573,5102800,651,3206400,2804,5235200,2112,6469350,0,0,0,0,982,16056000,1662,5318400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2125,18794686,0,0,25012,24,336,0,0,48,0,0,0,16,40,2020/05,20900,22591,23017,22331,21488,18574,17756,16873,17885,15258,13847,11766,8636,6253,4870,2654,1730,659,248,63,0,19124,20260,21595,22283,22396,19473,19597,18813,17466,17122,15143,12469,10091,6381,5263,3146,2392,1282,575,110,22,25012,0.48994107858916,0.893286778144521,0.4091423661311,0.406660028915137,0.48994107858916,146636,6582.992566428194,0.280245128416994,0.267575218908421,0.0274181331947323,0.0135925434760118,25012,Mazatlán,Sinaloa,43,LUIS GUILLERMO BENITEZ TORRES,MORENA-PT-PES,502402
43,26042,12419,32772600,318,1037200,958,4732800,1887,4814400,1095,3432300,0,0,0,0,720,10868400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,1642425,0,0,26042,4,3,0,0,5,0,0,0,0,0,2020/05,6665,7334,7818,7001,6527,5711,6024,5586,5422,4225,4317,3560,3065,2363,1607,1272,707,401,154,3,4,6234,7841,7525,7415,6745,5995,6178,6055,5718,4482,4565,3881,3412,2384,2191,1613,918,518,134,60,0,26042,0.444715227006047,0.856372416283058,0.270037909558624,0.339335680115534,0.444715227006047,44316,5926.6785386387655,0.424472432613355,0.362417386126823,0.0802755389042146,0.0421256326287586,26042,Navojoa,Sonora,44,MARÍA DEL ROSARIO   QUINTERO BORBÓN,MORENA-PT-PES,163630
44,30174,8708,22503750,80,256000,1114,5356800,1534,3484800,374,1660050,15,560000,0,0,1028,17179200,51,163200,0,0,0,0,0,0,0,0,0,0,1839,13424700,34,124800,1083,6122690,555,2775000,30174,1,6,0,0,0,0,0,0,1,1,2020/05,4128,3944,3652,4350,4618,3984,3675,3596,3109,3296,3039,2361,2128,1856,1325,922,508,223,95,28,14,4155,4007,3800,4457,4954,4653,4150,3902,4049,3400,3328,2755,2138,2066,1409,1061,576,351,113,52,29,30174,0.344696319194001,0.775974583547999,0.215267044478791,0.200898734901826,0.344696319194001,34938,4761.795392611321,0.522274109470026,0.511810030189699,0.100814509122502,0.0824494209886,30174,Tierra Blanca,Veracruz,45,PATRICIO  AGUIRRE  SOLIS ,PAN,106256
45,30141,10906,29369625,221,704800,684,3288000,3206,7324800,926,3516450,0,0,0,0,1123,20001600,77,246400,0,0,0,0,0,0,0,0,0,0,347,2533100,0,0,3586,20025060,986,4930000,30141,3,1,0,0,3,0,2,0,2,2,2020/05,7474,7649,7854,8789,6062,5004,4950,4646,5589,4703,4066,2901,2564,2383,1759,1134,445,566,67,30,20,6512,7052,8047,8117,7391,6972,6387,6034,6440,5342,4588,3530,2557,2571,2074,1114,464,674,164,79,11,30141,0.235032844753021,0.665100404422938,0.176099305701662,0.143792224793698,0.235032844753021,42777,3628.437458791501,0.658871230496326,0.751646899468103,0.189389277051732,0.247005186824804,30141,San Andrés Tuxtla,Veracruz,46,OCTAVIO  PEREZ  GARAY ,Independiente,164775
46,25011,23198,60225900,662,2166800,818,3964800,5314,11772800,2482,8182950,0,0,0,0,1239,20383200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534,7093110,0,0,25011,0,7,0,0,0,0,0,0,0,0,2020/05,13028,13626,13209,14174,12405,10319,9150,10354,9948,7490,7726,6568,5486,4618,3184,2495,1273,627,249,82,3,12292,12780,13370,13496,12395,10732,10422,9445,9385,8800,9342,7550,5874,4569,3587,2055,1445,1063,521,153,63,25011,0.611220050646062,0.884760729822739,0.240490877215765,0.261905071099279,0.611220050646062,77005,5032.681395592865,0.408612924379762,0.414893088192477,0.0611133488011345,0.0386210471747019,25011,Guasave,Sinaloa,47,MARIA AURELIA LEAL LOPEZ,MORENA-PT-PES,295353
47,22014,46645,120513000,1350,4304400,1901,9360000,9471,20299200,2894,8613900,0,0,1,2431,2597,39358800,617,1974400,0,0,0,0,0,0,0,0,2,10000,4,29200,0,0,1951,10579326,0,0,22014,672,1320,0,0,1456,8,0,0,104,88,2020/05,36370,38754,39338,38786,46084,37826,34139,32463,29700,23706,21902,16267,12920,9303,6198,3313,2431,1126,360,127,11,34716,35332,36566,38268,44354,39851,37857,34868,31740,27462,24839,18960,14311,10529,7232,4318,2792,1735,727,230,122,22014,0.587290961503864,0.909987406437361,0.489626000476966,0.506240298563665,0.587290961503864,239011,8421.184856757127,0.282865897886028,0.229627738488671,0.0296702372567776,0.0145758600039766,22014,Querétaro,Querétaro,48,LUIS BERNARDO  NAVA GUERRERO,PAN-PRD-MC,877933
48,25006,54395,141837375,2800,9002000,1772,8851200,6551,15129600,5525,18441600,0,0,1,6814,5301,81864000,83,265600,0,0,0,0,0,0,0,0,0,0,284,2073200,0,0,4481,42250186,4,20000,25006,405,3672,0,0,1215,0,0,0,0,864,2020/05,40230,41986,41219,44486,42386,35171,32281,31437,30577,24652,21376,16830,13035,9255,6545,4991,2406,1167,599,160,0,38051,41113,40232,42282,44623,35752,36714,34297,33663,26783,26007,18651,15322,10631,8458,5844,3088,1487,978,162,17,25006,0.526205904704315,0.931486308701799,0.379499415739886,0.464441847732826,0.526205904704315,244754,7678.271828793079,0.312445828384322,0.248534087266345,0.0346560761635719,0.0122853944747781,25006,Culiacán,Sinaloa,49,JESUS ESTRADA FERREIRO,MORENA-PT-PES,904944
49,30189,11757,30768300,343,1118400,920,4416000,3168,5128000,838,3200250,38,2576000,0,0,647,11829600,0,0,0,0,0,0,0,0,0,0,0,0,3,21900,0,0,590,3381683,363,1815000,30189,2,4,0,0,0,0,0,0,2,0,2020/05,7199,6670,6630,7041,6461,6223,5488,4601,5728,4739,4696,3585,2528,2360,1686,987,687,359,163,52,25,6728,6776,6282,6699,7474,6783,6265,5983,6424,6007,4877,3890,2921,2236,1822,1227,679,504,144,83,30,30189,0.519390256902249,0.849760153501759,0.319624773478307,0.335507941584053,0.519390256902249,46905,6362.874184579189,0.38012309413904,0.450967995384068,0.0787452790600084,0.0672931730851861,30189,Tuxpan,Veracruz,50,JUAN ANTONIO  AGUILAR  MANCHA ,PAN,161742
50,15031,19615,51224400,627,2061600,670,3316800,11658,23942400,1558,5186700,0,0,1,4622,3126,52905600,0,0,0,0,0,0,0,0,0,0,0,0,4,29200,0,0,143,638744,0,0,15031,594,3294,702,0,1512,0,54,0,108,324,2020/05,32632,35052,33006,31302,33276,28123,25683,24795,21752,16042,16120,12400,8693,5830,3287,1621,1014,455,125,95,33,32216,30728,32002,32264,34466,31914,26281,27410,24275,21108,17582,13666,9820,5925,3725,1934,1584,689,237,41,12,15031,0.137339932248997,0.747591475866708,0.373549479854888,0.208952982725897,0.137339932248997,166492,4687.471767575019,0.618652159257488,0.614621759499202,0.133553348436508,0.0916816560470717,15031,Chimalhuacán,México,51,JESUS TOLENTINO  ROMAN  BOJORQUEZ ,PRI,679215
51,32056,9243,24161250,624,2091200,798,3993600,669,1152000,472,1524900,5,224000,0,0,1742,27237600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,8457822,0,0,32056,6,19,0,0,5,0,0,0,4,3,2020/05,6235,6446,6257,6686,7844,5727,5662,4468,4595,3761,3759,2973,2566,1644,966,619,425,180,17,25,0,6350,5851,5551,6625,7746,6032,5755,5681,5304,4537,4184,3728,2893,1782,1314,907,606,232,142,7,7,32056,0.598220499055572,0.885053186201412,0.489586440003977,0.542424694303609,0.598220499055572,40236,6920.484456837107,0.31189103783246,0.259409760430615,0.0240878368493431,0.0183488671165498,32056,Zacatecas,Zacatecas,52,ULISES  MEJIA  HARO,MORENA-PT-PES,146089
52,30193,43524,113594850,689,2254000,1695,8160000,3950,6638400,3191,10151550,1,16000,0,0,2589,42746400,223,713600,0,0,0,0,0,0,0,0,3,15000,192,1401600,0,0,334,2434994,6,30000,30193,72,272,0,0,1128,0,0,8,24,8,2020/05,22442,23133,26691,23921,27408,23537,23961,19430,20799,18331,16051,13717,10204,7799,5431,3737,1908,963,251,188,9,21925,22286,22671,23355,27750,24950,25739,23916,22670,22456,22297,16673,13456,9974,7232,4622,4269,2043,1197,203,96,30193,0.52552078244917,0.91049814917337,0.394036104688399,0.386345133031556,0.52552078244917,184242,6401.461883882098,0.312993013824505,0.332496044236204,0.0450929275500102,0.0357710407332602,30193,Veracruz,Veracruz,53,FERNANDO  YUNES  MARQUEZ ,PAN,609691
