distrito,AdultosMayores,ApoyoMadresTrab,BecasUniv,BenitoJuarez,BienestarDiscapacitados,CreditoGanaPalabra,FertiGuerrero,JoCuFu,MediaSuperior,MejoramientoUrbano-RYCJ,MejoUrbano-VAB,PNR-ReconstruViv,PrBiPeEmSoNa,ProdBienProdCafe,ProdBienProdCanaAzu,ProdBienProdIndig,ProdBienPyMProd,SembrandoVida
D21008,61643700.0,952800.0,5918400.0,30272000.0,14376900.0,0.0,4622.0,32655600.0,2380800.0,0.0,0.0,0.0,0.0,1175000.0,547500.0,1600.0,114260296.0,3900000.0
D21009,270524400.0,6827200.0,36100800.0,26998400.0,10643700.0,0.0,2431.0,105591600.0,937600.0,0.0,0.0,0.0,0.0,20000.0,321200.0,11200.0,13523060.0,105000.0
D21010,48240900.0,2669600.0,2649600.0,8283200.0,6798300.0,0.0,6814.0,23259600.0,0.0,0.0,0.0,0.0,0.0,5000.0,65700.0,0.0,3412950.0,5000.0
D21011,262387350.0,6043200.0,34593600.0,25673600.0,9603300.0,0.0,2431.0,99968400.0,937600.0,0.0,0.0,0.0,0.0,20000.0,306600.0,11200.0,13329908.0,105000.0
D21012,262387350.0,6043200.0,34593600.0,25673600.0,9603300.0,0.0,2431.0,99968400.0,937600.0,0.0,0.0,0.0,0.0,20000.0,306600.0,11200.0,13329908.0,105000.0
D21013,76877400.0,1281600.0,2193600.0,23116800.0,12056400.0,0.0,2431.0,25286400.0,1433600.0,0.0,0.0,1759500.0,0.0,80000.0,21921900.0,64000.0,23276581.0,0.0
D21014,89762550.0,608000.0,9052800.0,17756800.0,20473950.0,0.0,7053.0,27010800.0,2876800.0,0.0,0.0,1614000.0,0.0,125000.0,1160700.0,617600.0,63722257.0,0.0
D21015,51698700.0,2527200.0,16612800.0,17329600.0,9792000.0,0.0,0.0,44254800.0,275200.0,0.0,0.0,0.0,0.0,15000.0,160600.0,148800.0,18515594.0,15000.0
D22001,54307350.0,764800.0,1560000.0,17676800.0,8346150.0,0.0,0.0,44791200.0,6470400.0,0.0,0.0,0.0,0.0,0.0,14600.0,0.0,22816210.0,0.0
D22002,45645000.0,1820800.0,6422400.0,17360000.0,5360100.0,0.0,0.0,29912400.0,3814400.0,0.0,0.0,45000.0,0.0,0.0,21900.0,0.0,15220416.0,0.0
D22003,120513000.0,4304400.0,9360000.0,20299200.0,8613900.0,0.0,2431.0,39358800.0,1974400.0,0.0,0.0,0.0,0.0,10000.0,29200.0,0.0,10579326.0,0.0
D22004,120513000.0,4304400.0,9360000.0,20299200.0,8613900.0,0.0,2431.0,39358800.0,1974400.0,0.0,0.0,0.0,0.0,10000.0,29200.0,0.0,10579326.0,0.0
D22005,48546900.0,1534400.0,720000.0,12155200.0,8139600.0,0.0,0.0,47088000.0,0.0,0.0,0.0,0.0,0.0,0.0,14600.0,0.0,24610723.0,0.0
D23001,77856600.0,3660800.0,5371200.0,17785600.0,12466950.0,2496000.0,0.0,58950000.0,1884800.0,0.0,0.0,0.0,0.0,0.0,124100.0,4800.0,8428433.0,4910000.0
