distrito,robo_casa,robo_vehiculos,robo_transportistas,robo_bancos,robo_negocio,robo_maquinaria,secuestro,feminicidio,extorsion,homicidio_doloso,pob,date
D30002,7.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,376917.0,2020/03
D30003,8.0,14.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,2.0,351778.0,2020/03
D30004,25.0,57.0,0.0,0.0,72.0,0.0,1.0,0.0,6.0,2.0,609964.0,2020/03
D30005,7.0,18.0,0.0,0.0,36.0,0.0,0.0,1.0,1.0,6.0,353434.0,2020/03
D30006,7.0,12.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,401040.0,2020/03
D30007,12.0,15.0,0.0,0.0,4.0,1.0,1.0,0.0,5.0,4.0,417424.0,2020/03
D30008,29.0,48.0,0.0,0.0,14.0,0.0,0.0,0.0,7.0,9.0,853150.0,2020/03
D30009,4.0,12.0,1.0,0.0,3.0,0.0,2.0,0.0,3.0,7.0,398600.0,2020/03
D30010,25.0,37.0,0.0,0.0,11.0,0.0,0.0,0.0,6.0,5.0,480841.0,2020/03
D30011,18.0,31.0,0.0,0.0,30.0,0.0,2.0,0.0,5.0,6.0,400582.0,2020/03
D30012,28.0,72.0,0.0,0.0,114.0,0.0,1.0,1.0,9.0,4.0,862286.0,2020/03
D30013,3.0,13.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,424264.0,2020/03
D30014,12.0,17.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,12.0,384304.0,2020/03
D30015,5.0,11.0,0.0,0.0,6.0,0.0,1.0,2.0,0.0,2.0,428773.0,2020/03
D30016,8.0,41.0,2.0,0.0,12.0,0.0,2.0,0.0,5.0,10.0,430936.0,2020/03
D30017,7.0,20.0,6.0,0.0,2.0,0.0,1.0,1.0,2.0,10.0,403660.0,2020/03
D30018,4.0,17.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,6.0,426531.0,2020/03
D30019,13.0,6.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,1.0,411119.0,2020/03
D30020,6.0,25.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,11.0,427857.0,2020/03
D31001,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,397539.0,2020/03
D31002,11.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,399129.0,2020/03
D31003,8.0,2.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,892363.0,2020/03
D31004,8.0,2.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,892363.0,2020/03
D31005,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,408144.0,2020/03
D32001,9.0,80.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,22.0,391189.0,2020/03
D32002,3.0,23.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,6.0,374730.0,2020/03
D32003,5.0,23.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,18.0,388312.0,2020/03
D32004,17.0,22.0,0.0,0.0,6.0,0.0,1.0,1.0,8.0,6.0,424978.0,2020/03
