distrito,robo_casa,robo_vehiculos,robo_transportistas,robo_bancos,robo_negocio,robo_maquinaria,secuestro,feminicidio,extorsion,homicidio_doloso,pob,date
D15039,41.0,255.0,22.0,0.0,120.0,0.0,0.0,1.0,6.0,25.0,973536.0,2020/03
D15040,18.0,50.0,0.0,0.0,30.0,1.0,0.0,0.0,18.0,7.0,508895.0,2020/03
D15041,32.0,147.0,9.0,0.0,26.0,1.0,0.0,1.0,7.0,3.0,484630.0,2020/03
D16001,4.0,45.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,364936.0,2020/03
D16002,7.0,19.0,9.0,0.0,5.0,1.0,0.0,0.0,0.0,20.0,403406.0,2020/03
D16003,5.0,27.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,378026.0,2020/03
D16004,5.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,381796.0,2020/03
D16005,8.0,65.0,6.0,0.0,2.0,3.0,0.0,0.0,0.0,38.0,390184.0,2020/03
D16006,8.0,20.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,388499.0,2020/03
D16007,10.0,45.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,400383.0,2020/03
D16008,69.0,80.0,39.0,1.0,47.0,14.0,0.0,3.0,0.0,28.0,784776.0,2020/03
D16009,4.0,121.0,32.0,0.0,19.0,1.0,1.0,0.0,0.0,23.0,334749.0,2020/03
D16010,69.0,80.0,39.0,1.0,47.0,14.0,0.0,3.0,0.0,28.0,784776.0,2020/03
D16011,6.0,44.0,17.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0,401626.0,2020/03
D16012,1.0,38.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,356090.0,2020/03
D17001,39.0,213.0,9.0,0.0,206.0,0.0,0.0,0.0,1.0,18.0,366321.0,2020/03
D17002,53.0,304.0,24.0,1.0,247.0,0.0,0.0,0.0,2.0,38.0,748935.0,2020/03
D17003,42.0,79.0,9.0,2.0,18.0,0.0,2.0,0.0,1.0,10.0,395293.0,2020/03
D17004,16.0,65.0,4.0,0.0,20.0,0.0,0.0,2.0,3.0,22.0,381694.0,2020/03
D17005,20.0,35.0,8.0,0.0,9.0,0.0,3.0,0.0,1.0,7.0,377889.0,2020/03
D18001,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,363163.0,2020/03
D18002,8.0,15.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,2.0,413608.0,2020/03
D18003,1.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,404279.0,2020/03
D19001,12.0,13.0,1.0,0.0,14.0,0.0,0.0,0.0,3.0,1.0,420110.0,2020/03
D19002,52.0,44.0,18.0,0.0,24.0,1.0,1.0,2.0,8.0,14.0,1606960.0,2020/03
D19003,12.0,4.0,3.0,0.0,3.0,0.0,1.0,0.0,2.0,6.0,425148.0,2020/03
D19004,32.0,34.0,13.0,0.0,19.0,1.0,0.0,2.0,4.0,8.0,1027350.0,2020/03
D19005,79.0,67.0,20.0,0.0,73.0,0.0,0.0,1.0,9.0,23.0,1109171.0,2020/03
D19006,96.0,70.0,23.0,0.0,80.0,0.0,0.0,1.0,10.0,26.0,1356541.0,2020/03
D19007,110.0,80.0,23.0,0.0,86.0,0.0,0.0,2.0,13.0,38.0,1654347.0,2020/03
D19008,49.0,47.0,20.0,0.0,38.0,1.0,0.0,3.0,11.0,13.0,1367255.0,2020/03
D19009,15.0,6.0,8.0,0.0,4.0,1.0,0.0,0.0,1.0,5.0,387856.0,2020/03
D19010,79.0,67.0,20.0,0.0,73.0,0.0,0.0,1.0,9.0,23.0,1109171.0,2020/03
D19011,102.0,99.0,34.0,0.0,100.0,0.0,0.0,2.0,17.0,37.0,2125532.0,2020/03
D19012,49.0,41.0,17.0,0.0,17.0,1.0,0.0,2.0,3.0,21.0,1119020.0,2020/03
D20001,9.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,392417.0,2020/03
D20002,6.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,390979.0,2020/03
D20003,26.0,35.0,2.0,0.0,9.0,1.0,0.0,0.0,2.0,5.0,418010.0,2020/03
D20004,16.0,26.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,440498.0,2020/03
D20005,15.0,19.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,11.0,431730.0,2020/03
D20006,5.0,5.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,10.0,388239.0,2020/03
D20007,10.0,20.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,10.0,410037.0,2020/03
D20008,21.0,102.0,0.0,0.0,42.0,0.0,1.0,1.0,1.0,4.0,389208.0,2020/03
D20009,5.0,13.0,0.0,1.0,6.0,0.0,0.0,0.0,2.0,15.0,393164.0,2020/03
D20010,7.0,24.0,1.0,0.0,7.0,1.0,0.0,0.0,1.0,14.0,424426.0,2020/03
D21001,7.0,38.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,402163.0,2020/03
D21002,13.0,28.0,2.0,0.0,12.0,1.0,0.0,0.0,1.0,9.0,403513.0,2020/03
D21003,10.0,17.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,2.0,410363.0,2020/03
D21004,4.0,21.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,405506.0,2020/03
D21005,17.0,116.0,31.0,1.0,9.0,3.0,0.0,0.0,1.0,5.0,413972.0,2020/03
D21006,29.0,394.0,18.0,0.0,104.0,3.0,0.0,2.0,7.0,12.0,1576259.0,2020/03
D21007,46.0,473.0,25.0,0.0,127.0,11.0,0.0,2.0,7.0,20.0,2030740.0,2020/03
