clave_mun,robo_casa,robo_vehiculos,robo_transportistas,robo_bancos,robo_negocio,robo_maquinaria,secuestro,feminicidio,extorsion,homicidio_doloso,pob,mpo_inegi_x,Ranking Modelo_x,pob_2015_x,start_year_x,end_year_x,mpo_ine_x,mpo_inegi_y,Ranking Modelo_y,pob_2015_y,start_year_y,end_year_y,mpo_ine_y,mpo_inegi,Ranking Modelo,pob_2015,start_year,end_year,mpo_ine,date
4006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40100.0,4006,92,40088,2018,2021,4006.0,4006,92,40088,2018,2021,4006.0,4006,92,40088,2018,2021,4006.0,2020/05
4007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8971.0,4007,180,8969,2018,2021,4007.0,4007,180,8969,2018,2021,4007.0,4007,180,8969,2018,2021,4007.0,2020/05
4008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10665.0,4008,92,10660,2018,2021,4008.0,4008,92,10660,2018,2021,4008.0,4008,92,10660,2018,2021,4008.0,2020/05
4009,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58553.0,4009,180,58542,2018,2021,4009.0,4009,180,58542,2018,2021,4009.0,4009,180,58542,2018,2021,4009.0,2020/05
4010,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28424.0,4010,92,28390,2018,2021,4011.0,4010,92,28390,2018,2021,4011.0,4010,92,28390,2018,2021,4011.0,2020/05
4011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43879.0,4011,180,43866,2018,2021,4010.0,4011,180,43866,2018,2021,4010.0,4011,180,43866,2018,2021,4010.0,2020/05
5001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.0,5001,112,1014,2019,2021,5001.0,5001,112,1014,2019,2021,5001.0,5001,112,1014,2019,2021,5001.0,2020/05
5002,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,147809.0,5002,5,147721,2019,2021,5002.0,5002,5,147721,2019,2021,5002.0,5002,5,147721,2019,2021,5002.0,2020/05
5003,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181232.0,40024,468,181136,16152,16168,40024.0,40024,468,181136,16152,16168,40024.0,40024,468,181136,16152,16168,40024.0,2020/05
5004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23271.0,5004,70,23256,2019,2021,5004.0,5004,70,23256,2019,2021,5004.0,5004,70,23256,2019,2021,5004.0,2020/05
5005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1720.0,5005,112,1716,2019,2021,5005.0,5005,112,1716,2019,2021,5005.0,5005,112,1716,2019,2021,5005.0,2020/05
5006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28068.0,5006,120,28064,2019,2021,5006.0,5006,120,28064,2019,2021,5006.0,5006,120,28064,2019,2021,5006.0,2020/05
5007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13546.0,5007,120,13532,2019,2021,5007.0,5007,120,13532,2019,2021,5007.0,5007,120,13532,2019,2021,5007.0,2020/05
5008,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3077.0,5008,112,3073,2019,2021,5008.0,5008,112,3073,2019,2021,5008.0,5008,112,3073,2019,2021,5008.0,2020/05
5009,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466880.0,40072,1120,466624,16152,16168,40072.0,40072,1120,466624,16152,16168,40072.0,40072,1120,466624,16152,16168,40072.0,2020/05
5010,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,80991.0,5010,112,80956,2019,2021,5010.0,5010,112,80956,2019,2021,5010.0,5010,112,80956,2019,2021,5010.0,2020/05
5011,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12471.0,5011,74,12464,2019,2021,5011.0,5011,74,12464,2019,2021,5011.0,5011,74,12464,2019,2021,5011.0,2020/05
5012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1697.0,5012,112,1696,2019,2021,5012.0,5012,112,1696,2019,2021,5012.0,5012,112,1696,2019,2021,5012.0,2020/05
5013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1565.0,5013,112,1565,2019,2021,5013.0,5013,112,1565,2019,2021,5013.0,5013,112,1565,2019,2021,5013.0,2020/05
5014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10243.0,5014,5,10209,2019,2021,5014.0,5014,5,10209,2019,2021,5014.0,5014,5,10209,2019,2021,5014.0,2020/05
5015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1574.0,5015,112,1573,2019,2021,5015.0,5015,112,1573,2019,2021,5015.0,5015,112,1573,2019,2021,5015.0,2020/05
5016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1773.0,5016,120,1769,2019,2021,5016.0,5016,120,1769,2019,2021,5016.0,5016,120,1769,2019,2021,5016.0,2020/05
5017,56.0,24.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,871600.0,40136,1120,871552,16152,16168,40136.0,40136,1120,871552,16152,16168,40136.0,40136,1120,871552,16152,16168,40136.0,2020/05
5018,17.0,6.0,2.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,231107.0,5018,112,231076,2019,2021,5018.0,5018,112,231076,2019,2021,5018.0,5018,112,231076,2019,2021,5018.0,2020/05
5019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8599.0,5019,5,8595,2019,2021,0.0,5019,5,8595,2019,2021,0.0,5019,5,8595,2019,2021,0.0,2020/05
5020,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69102.0,5020,120,69046,2019,2021,5020.0,5020,120,69046,2019,2021,5020.0,5020,120,69046,2019,2021,5020.0,2020/05
5021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6614.0,5021,120,6608,2019,2021,5021.0,5021,120,6608,2019,2021,5021.0,5021,120,6608,2019,2021,5021.0,2020/05
5022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30698.0,5022,5,30655,2019,2021,5022.0,5022,5,30655,2019,2021,5022.0,5022,5,30655,2019,2021,5022.0,2020/05
5023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11671.0,5023,120,11655,2019,2021,5023.0,5023,120,11655,2019,2021,5023.0,5023,120,11655,2019,2021,5023.0,2020/05
5024,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,44799.0,5024,74,44776,2019,2021,5024.0,5024,74,44776,2019,2021,5024.0,5024,74,44776,2019,2021,5024.0,2020/05
5025,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,163595.0,5025,5,163446,2019,2021,5025.0,5025,5,163446,2019,2021,5025.0,5025,5,163446,2019,2021,5025.0,2020/05
5026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3304.0,5026,112,3302,2019,2021,5026.0,5026,112,3302,2019,2021,5026.0,5026,112,3302,2019,2021,5026.0,2020/05
5027,2.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,92828.0,5027,120,92749,2019,2021,5027.0,5027,120,92749,2019,2021,5027.0,5027,120,92749,2019,2021,5027.0,2020/05
5028,72.0,16.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,508176.0,40224,468,508024,16152,16168,40224.0,40224,468,508024,16152,16168,40224.0,40224,468,508024,16152,16168,40224.0,2020/05
5029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,5029,120,2360,2019,2021,5029.0,5029,120,2360,2019,2021,5029.0,5029,120,2360,2019,2021,5029.0,2020/05
5030,104.0,128.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0,6460296.0,40240,576,6458216,16152,16168,40240.0,40240,576,6458216,16152,16168,40240.0,40240,576,6458216,16152,16168,40240.0,2020/05
5031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23587.0,5031,120,23574,2019,2021,5031.0,5031,120,23574,2019,2021,5031.0,5031,120,23574,2019,2021,5031.0,2020/05
